periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Estimated Number of Pregnant Women,Population 10-14 Year-Old Girls,Women of childbearing age (15–49yrs),uid_code,uid_year,,,,
2015,2015,2015,,Kenya,Mombasa County,wsBsC6gjHvn,Mombasa County,KE_County_1,,43502,,289230,201501_wsBsC6gjHvn,2015_wsBsC6gjHvn,,,,
2015,2015,2015,,Kenya,Bungoma County,KGHhQ5GLd4k,Bungoma County,KE_County_39,,60446,,399773,201501_KGHhQ5GLd4k,2015_KGHhQ5GLd4k,,,,
2015,2015,2015,,Kenya,Garissa County,uyOrcHZBpW0,Garissa County,KE_County_7,,24907,,153541,201501_uyOrcHZBpW0,2015_uyOrcHZBpW0,,,,
2015,2015,2015,,Kenya,Tana River County,JsH2bnvNt2d,Tana River County,KE_County_4,,10545,,70110,201501_JsH2bnvNt2d,2015_JsH2bnvNt2d,,,,
2015,2015,2015,,Kenya,Kisii County,sPkRcDvhGWA,Kisii County,KE_County_45,,49852,,331453,201501_sPkRcDvhGWA,2015_sPkRcDvhGWA,,,,
2015,2015,2015,,Kenya,Muranga County,ahwTMNAJvrL,Muranga County,KE_County_21,,34842,,231649,201501_ahwTMNAJvrL,2015_ahwTMNAJvrL,,,,
2015,2015,2015,,Kenya,Migori County,fVra3Pwta0Q,Migori County,KE_County_44,,49089,,274213,201501_fVra3Pwta0Q,2015_fVra3Pwta0Q,,,,
2015,2015,2015,,Kenya,Nakuru County,ob6SxuRcqU4,Nakuru County,KE_County_32,,72568,,490693,201501_ob6SxuRcqU4,2015_ob6SxuRcqU4,,,,
2015,2015,2015,,Kenya,Lamu County,NjWSbQTwys4,Lamu County,KE_County_5,,4388,,29179,201501_NjWSbQTwys4,2015_NjWSbQTwys4,,,,
2015,2015,2015,,Kenya,Siaya County,u4t9H8XyU9P,Siaya County,KE_County_41,,34883,,231931,201501_u4t9H8XyU9P,2015_u4t9H8XyU9P,,,,
2015,2015,2015,,Kenya,Bomet County,HMNARUV2CW4,Bomet County,KE_County_36,,29501,,195781,201501_HMNARUV2CW4,2015_HMNARUV2CW4,,,,
2015,2015,2015,,Kenya,Kakamega County,BjC1xL40gHo,Kakamega County,KE_County_37,,71321,,474180,201501_BjC1xL40gHo,2015_BjC1xL40gHo,,,,
2015,2015,2015,,Kenya,Tharaka Nithi County,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,14831,,104484,201501_T4urHM47nlm,2015_T4urHM47nlm,,,,
2015,2015,2015,,Kenya,Embu County,PFu8alU2KWG,Embu County,KE_County_14,,17905,,141465,201501_PFu8alU2KWG,2015_PFu8alU2KWG,,,,
