year_month,country,county,uid,uid_code,uidear,county_code,adolescent_10_24_receiving_fp_new,adolescent_10_24_receiving_fp_revisits,adults_25+_receiving_fp_services_new,adults_25+_receiving_fp_services_revisits,condoms_new,condoms_revisits,traditional_new,pills_new,pills_revisits,traditional_revisits,injectable_new,injectable_revisits,traditional,implants_new,implants_revisits,iucd_new,iucd_revisits,surgical_new,surgical_revisits,condoms,pills,injectables,implants,iucd,surgical,total_modern_fp,total_cyp,periodid,periodname,pills_combined_oral_contraceptive_stock_losses,pills_combined_oral_contraceptive_stock_dispensed,pills_combined_oral_contraceptive_stock_at_hand,pills_combined_oral_contraceptive_stock_requested,pills_combined_oral_contraceptive_stock_received,pills_emergency_pill_stock_losses,pills_emergency_pill_stock_dispensed,pills_emergency_pill_stock_at_hand,pills_emergency_pill_stock_requested,pills_emergency_pill_stock_received,pills_progestin_only_pills_stock_losses,pills_progestin_only_pills_stock_dispensed,pills_progestin_only_pills_stock_at_hand,pills_progestin_only_pills_stock_requested,pills_progestin_only_pills_stock_received,condoms_female_condom_stock_losses,condoms_female_condom_stock_dispensed,condoms_female_condom_stock_at_hand,condoms_female_condom_stock_requested,condoms_female_condom_stock_received,condoms_male_condom_stock_losses,condoms_male_condom_stock_dispensed,condoms_male_condom_stock_at_hand,condoms_male_condom_stock_requested,condoms_male_condom_stock_received,injectables_stock_losses,injectables_stock_dispensed,injectables_stock_at_hand,injectables_stock_requested,injectables_stock_received,implants_stock_losses,implants_stock_dispensed,implants_stock_at_hand,implants_stock_requested,implants_stock_received,iud_stock_losses,iud_stock_dispensed,iud_stock_at_hand,iud_stock_requested,iud_stock_received,eligible_fp,"core_health_workforce_per_10,000population",Demand_Satisfied_by_Modern_Methods (%),"mCPR (Married Women, %)","Teenage Pregnancy Rate (15-19, %)","Total Unmet Need (Married Women, %)"
202412,Kenya,West Pokot,XWALbfAPa6n,202412_XWALbfAPa6n,2024_XWALbfAPa6n,KE_County_24,549,808,335,960,73,11,342,183,228,1,591,1107,343,461,197,13,5,8,0,84,411,1698,658,18,8,2877,2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188762.0,,,,,
202412,Kenya,Garissa,uyOrcHZBpW0,202412_uyOrcHZBpW0,2024_uyOrcHZBpW0,KE_County_7,300,213,579,478,175,76,411,292,254,46,315,731,457,149,32,6,0,0,0,251,546,1046,181,6,0,2030,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322080.0,,,,,
202412,Kenya,Bomet,HMNARUV2CW4,202412_HMNARUV2CW4,2024_HMNARUV2CW4,KE_County_36,945,2021,1587,10000,601,1182,317,281,195,265,1208,5160,582,603,354,13,5,1,0,1783,476,6368,957,18,1,9603,4995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283009.0,,,,,
202412,Kenya,Samburu,o36zCRjSd4G,202412_o36zCRjSd4G,2024_o36zCRjSd4G,KE_County_25,236,445,197,826,606,830,98,136,163,9,319,1146,107,210,101,13,5,4,0,1436,299,1465,311,18,4,3533,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91143.0,,,,,
202412,Kenya,Isiolo,bzOfj0iwfDH,202412_bzOfj0iwfDH,2024_bzOfj0iwfDH,KE_County_11,139,320,154,704,27,6,140,78,90,92,196,642,232,157,87,4,9,0,0,33,168,838,244,13,0,1296,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80765.0,,,,,
202412,Kenya,Nyandarua,mYZacFNIB3h,202412_mYZacFNIB3h,2024_mYZacFNIB3h,KE_County_18,462,703,657,2307,150,250,30,545,586,0,406,2029,30,452,152,96,29,0,0,400,1131,2435,604,125,0,4695,3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204949.0,,,,,
202412,Kenya,Nairobi,jkG3zaihdSs,202412_jkG3zaihdSs,2024_jkG3zaihdSs,KE_County_47,7917,7173,4015,11043,2059,1438,2358,4953,4241,401,3572,9036,2759,4044,1313,1038,380,23,0,3497,9194,12608,5357,1418,23,32097,28092,202412,24-Dec,0,30,125,0,0,0,25,66,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,158,0,0,0,0,0,0,0,0,2,49,0,50,1716872.0,,,,,
202412,Kenya,Kilifi,nrI2khZx3d0,202412_nrI2khZx3d0,2024_nrI2khZx3d0,KE_County_3,1769,3749,1197,6853,233,183,369,554,1410,48,1467,7261,417,1478,658,114,51,5,0,416,1964,8728,2136,165,5,13414,10056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462948.0,,,,,
202412,Kenya,Tana River,JsH2bnvNt2d,202412_JsH2bnvNt2d,2024_JsH2bnvNt2d,KE_County_4,95,347,131,559,7,5,168,85,115,0,168,713,168,90,42,6,3,0,0,12,200,881,132,9,0,1234,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102761.0,,,,,
202412,Kenya,Busia,Tvf1zgVZ0K4,202412_Tvf1zgVZ0K4,2024_Tvf1zgVZ0K4,KE_County_40,5585,2686,674,3878,99,96,375,512,559,0,1179,3839,375,4782,1120,451,88,0,0,195,1071,5018,5902,539,0,12725,23115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301050.0,,,,,
