periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Estimated Number of Pregnant Women,FP Attendance New clients,FP Attendance Re-visits,MOH 711 Adolescent 10-14 yrs Receiving FP Services New clients,MOH 711 Adolescent 10-14 yrs Receiving FP Services Re-visits,MOH 711 Adolescent 15-19 Yrs Receiving FP Services New clients,MOH 711 Adolescent 15-19 Yrs Receiving FP Services Re-visits,MOH 711 Adolescent 20-24 Yrs Receiving FP Services New clients,MOH 711 Adolescent 20-24 Yrs Receiving FP Services Re-visits,MOH 711 Client receiving Male condoms New clients,MOH 711 Client receiving Male condoms Re-visits,MOH 711 Clients Counselled Natural Family Planning New clients,MOH 711 Clients Counselled Natural Family Planning Re-visits,MOH 711 Clients receiving Female Condoms New clients,MOH 711 Clients receiving Female Condoms Re-visits,MOH 711 Emergency contraceptive pill New clients,MOH 711 Emergency contraceptive pill Re-visits,MOH 711 Pills Combined oral contraceptive New clients,MOH 711 Pills Combined oral contraceptive Re-visits,MOH 711 Pills progestin only New clients,MOH 711 Pills progestin only Re-visits,MOH 711 Rev 2020_Adults 25+ receiving FP Services New clients,MOH 711 Rev 2020_Adults 25+ receiving FP Services Re-visits,MOH 711 Rev 2020_Clients given cycle beads New clients,MOH 711 Rev 2020_Clients given cycle beads Re-visits,MOH 711 Rev 2020_Clients receiving post abortion FP New clients,MOH 711 Rev 2020_Clients receiving post abortion FP Re-visits,MOH 711 Rev 2020_FP Injections DMPA- IM New clients,MOH 711 Rev 2020_FP Injections DMPA- IM Re-visits,MOH 711 Rev 2020_FP Injections DMPA- SC New clients,MOH 711 Rev 2020_FP Injections DMPA- SC Re-visits,MOH 711 Rev 2020_IUCD Insertion Hormonal Ist Time Insertion,MOH 711 Rev 2020_IUCD Insertion Hormonal Re-insertion,MOH 711 Rev 2020_IUCD Insertion Non Hormonal Ist Time Insertion,MOH 711 Rev 2020_IUCD Insertion Non Hormonal Re-insertion,MOH 711 Rev 2020_Implants insertion 1 Rod Ist Time Insertion,MOH 711 Rev 2020_Implants insertion 1 Rod Re-insertion,MOH 711 Rev 2020_Implants insertion 2 Rod Ist Time Insertion,MOH 711 Rev 2020_Implants insertion 2 Rod Re-insertion,MOH 711 Rev 2020_Post parturm FP 4weeks to 6weeks New clients,MOH 711 Rev 2020_Post parturm FP 4weeks to 6weeks Re-visits,MOH 711 Rev 2020_Post parturm FP within 48 Hours New clients,MOH 711 Rev 2020_Post parturm FP within 48 Hours Re-visits,MOH 711 Rev 2020_Voluntary Surgical Contraception Vasectomy Ist Time Insertion,MOH 711 Rev 2020_Voluntary Surgical Contraception Vasectomy Re-insertion,MOH 711 Rev 2020_Voluntary surgical contraception BTL Ist Time Insertion,MOH 711 Rev 2020_Voluntary surgical contraception BTL Re-insertion,Population Growth Rate,Total Population,Women of childbearing age (15–49yrs)
201404,April 2014,201404,,Kenya,Embu County,PFu8alU2KWG,Embu County,KE_County_14,,14795.0,1055.0,6913.0,,,,,,,215,120.0,,,,,,,162.0,1471.0,117.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,548900.0,146764.0
201404,April 2014,201404,,Kenya,Elgeyo Marakwet County,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,18424.0,1354.0,2503.0,,,,,,,311,171.0,1.0,,,,,,82.0,177.0,7.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,426393.0,103238.0
201404,April 2014,201404,,Kenya,Wajir County,CeLsrJOH0g9,Wajir County,KE_County_8,,29180.0,415.0,373.0,,,,,,,412,174.0,27.0,,,,,,25.0,41.0,26.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,744829.0,141585.0
201404,April 2014,201404,,Kenya,Kakamega County,BjC1xL40gHo,Kakamega County,KE_County_37,,68016.0,6825.0,12211.0,,,,,,,1362,642.0,23.0,22.0,,,,,883.0,1337.0,266.0,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,1882092.0,445067.0
201404,April 2014,201404,,Kenya,Bungoma County,KGHhQ5GLd4k,Bungoma County,KE_County_39,,64744.0,4471.0,8657.0,,,,,,,565,757.0,2.0,6.0,,,,,368.0,712.0,144.0,383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,1609749.0,366967.0
201404,April 2014,201404,,Kenya,Nyandarua County,mYZacFNIB3h,Nyandarua County,KE_County_18,,18732.0,1628.0,4977.0,,,,,,,151,285.0,,,,,,,318.0,945.0,110.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,645889.0,163342.0
201404,April 2014,201404,,Kenya,Migori County,fVra3Pwta0Q,Migori County,KE_County_44,,47122.0,3865.0,5660.0,,,,,,,1698,2020.0,3.0,,,,,,314.0,403.0,110.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,1065883.0,251602.0
201404,April 2014,201404,,Kenya,Tana River County,JsH2bnvNt2d,Tana River County,KE_County_4,,11114.0,210.0,734.0,,,,,,,31,70.0,,,,,,,40.0,67.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,279292.0,68893.0
201404,April 2014,201404,,Kenya,Garissa County,uyOrcHZBpW0,Garissa County,KE_County_7,,25626.0,399.0,591.0,,,,,,,62,43.0,6.0,2.0,,,,,58.0,63.0,20.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,627308.0,148688.0
201404,April 2014,201404,,Kenya,Machakos County,yhCUgGcCcOo,Machakos County,KE_County_16,,50432.0,2863.0,12336.0,,,,,,,694,473.0,34.0,99.0,,,,,487.0,1688.0,184.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1196496.0,290471.0
201404,April 2014,201404,,Kenya,Uasin Gishu County,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,42206.0,2916.0,4906.0,,,,,,,1451,383.0,5.0,,,,,,362.0,654.0,91.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,1002374.0,243856.0
201404,April 2014,201404,,Kenya,Vihiga County,sANMZ3lpqGs,Vihiga County,KE_County_38,,23852.0,1430.0,2479.0,,,,,,,110,85.0,3.0,,,,,,125.0,241.0,20.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,607691.0,146911.0
201404,April 2014,201404,,Kenya,Baringo County,vvOK1BxTbet,Baringo County,KE_County_30,,26103.46,1059.0,2293.0,,,,,,,224,367.0,,,,,,,139.0,276.0,92.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,643864.5,136788.46
201404,April 2014,201404,,Kenya,Kitui County,j8o6iO4Njsi,Kitui County,KE_County_15,,42861.0,2865.0,9963.0,,,,,,,1131,698.0,,110.0,,,,,263.0,804.0,124.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,1074894.0,243221.0
201404,April 2014,201404,,Kenya,Kirinyaga County,Ulj33KBau7V,Kirinyaga County,KE_County_20,,13103.0,623.0,7040.0,,,,,,,45,58.0,,,,,,,127.0,1960.0,68.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,572034.0,150445.0
201404,April 2014,201404,,Kenya,Kisii County,sPkRcDvhGWA,Kisii County,KE_County_45,,45938.0,3904.0,6554.0,,,,,,,4920,554.0,,,,,,,315.0,519.0,107.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,1127148.0,260514.0
201404,April 2014,201404,,Kenya,Makueni County,BoDytkJQ4Qi,Makueni County,KE_County_17,,31836.0,2596.0,7939.0,,,,,,,726,455.0,4.0,,,,,,228.0,678.0,88.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2129.17,977553.0,225985.0
201404,April 2014,201404,,Kenya,Homa Bay County,nK0A12Q7MvS,Homa Bay County,KE_County_43,,45558.0,3241.0,6190.0,,,,,,,490,1162.0,1.0,5.0,,,,,314.0,514.0,74.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,1101125.0,266176.0
201404,April 2014,201404,,Kenya,Kericho County,ihZsJ8alvtb,Kericho County,KE_County_35,,42452.8,2375.0,6120.0,,,,,,,378,613.0,28.0,67.0,,,,,290.0,551.0,56.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,885450.0,212509.2
201404,April 2014,201404,,Kenya,Narok County,kqJ83J2D72s,Narok County,KE_County_33,,41685.0,1829.0,3158.0,,,,,,,1678,1309.0,,,,,,,132.0,302.0,52.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88,1054892.0,234089.0
201404,April 2014,201404,,Kenya,Kajiado County,Hsk1YV8kHkT,Kajiado County,KE_County_34,,30521.0,3064.0,5588.0,,,,,,,756,545.0,31.0,18.0,,,,,350.0,776.0,192.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,700809.0,174354.0
